"ID","Stan","miasto","CLF2007","EMP2007","UEMP2007"
"2020","AK","Anchorage Borough/municipality, AK","151051","143336","7715"
"2090","AK","Fairbanks North Star Borough, AK","45385","42858","2527"
"2170","AK","Matanuska-Susitna Borough, AK","39800","36934","2866"
"2122","AK","Kenai Peninsula Borough, AK","25700","23674","2026"
"2110","AK","Juneau Borough/city, AK","18459","17626","833"
"2130","AK","Ketchikan Gateway Borough, AK","8222","7757","465"
"2050","AK","Bethel Census Area, AK","6951","6062","889"
"2150","AK","Kodiak Island Borough, AK","6141","5756","385"
"2158","AK","Kusilvak Census Area, AK","2584","2057","527"
"2070","AK","Dillingham Census Area, AK","2045","1858","187"
"2068","AK","Denali Borough, AK","1602","1502","100"
"2100","AK","Haines Borough, AK","1446","1339","107"
"2164","AK","Lake and Peninsula Borough, AK","1166","1102","64"
"2060","AK","Bristol Bay Borough, AK","1064","1014","50"
